"Story","Title","Result","Date","Stability","Duration (s)"
"login As a user: Login So that I can update my profile","As user i have be able to success login","SUCCESS","2022-04-05T23:17:08.6355096+07:00[Asia/Jakarta]","0.0","1.55"
"Post photo form local : Post Photo So that I can post photo form local dorectory","As user i can post a poto form yg directory","SUCCESS","2022-04-05T23:17:10.3181499+07:00[Asia/Jakarta]","0.0","0.25"
"Search text as a user : Search So that I can search another account","As user i can search another account","SUCCESS","2022-04-05T23:17:10.634954+07:00[Asia/Jakarta]","0.0","0.3"
